month,H1a,H1b,H1c,H2a,H2b,H2c,H2d,H3
1,11712.4,10180.7,10855.3,9307.3,9119.8,9812.8,10042,9264.6
2,9966.8,8874.7,9690.3,9402.9,9503.7,7883.1,8913.2,6041.6
3,7922.7,8207.7,7369.8,7252.2,7178,6489.1,6834.6,6118.4
4,5877.4,5914.4,5072.2,5896.3,5583.5,4888,4193,3445.8
5,2762,3555.9,2340.3,3619.8,3506.8,121.4,877.2,
6,,104.7,410,880.2,824,,,
7,,,,,,,,
8,,,,,,,,
9,2264.1,215.8,,1608.5,,1388.2,,
10,3645.4,4109.7,3330.7,4334.8,3722,2804.7,1788.4,911.8
11,6861,8473.8,7720,6404,7387.1,6725.2,6851.3,6044.6
12,9573.3,10452.5,10884.4,8679.6,9081,9535.9,15639.4,7659.1
