dep_code,P22_RP_LOC,P22_RP,ratio_RP_loc
01,103104.00044923686,289706.0794207948,0.3558917391563588
02,85168.31731091274,233332.07233857276,0.36500904679460705
03,53755.29758173464,164406.04697539852,0.3269666692355817
04,30004.471499442716,81365.39077829901,0.36876208929171905
05,23804.812460832873,69072.44332102322,0.3446354481800635
06,219361.79190335792,534199.4313067273,0.4106365133462759
07,47212.84307941697,154708.30265217528,0.30517329884721045
08,46115.718161102486,122197.86890850197,0.37738561705713974
09,22701.44090477277,75030.77164156236,0.3025617411109976
10,57933.687897610085,144595.32137557573,0.4006608744077658
11,63246.693521417714,181025.53235676244,0.3493799614784287
12,37133.9359636811,133666.6910740231,0.2778099440130282
13,442445.79234604095,947693.7933052051,0.4668657697999201
14,134809.0968990828,329451.81484150264,0.40919215140441306
15,18584.052301047766,70097.82152061336,0.2651159750461408
16,52690.38232591115,168770.73427920157,0.3122009426038531
17,104968.5506726141,325055.56098477484,0.32292494967508245
18,43842.347931794895,143651.53330425321,0.30519930364360975
19,33467.732723627945,116307.1210705693,0.28775308352204343
21,97899.40816025446,258496.71396602655,0.37872592907746244
22,78685.2523833108,287951.9265128357,0.27325829466122126
23,13739.84852273301,57729.22093283774,0.23800509171460962
24,57537.74249028649,202056.86227182465,0.28476015040202723
25,97204.05428784642,253541.5478958727,0.3833851102296152
26,85182.02169167851,238938.7365847159,0.3565015154479867
27,86093.24202117157,261193.14400442032,0.3296152444939924
28,61076.41320204249,190146.95253945485,0.3212063742613458
29,132078.8227203768,446650.6752669676,0.29570944372004354
2A,28151.540279530745,73773.0572995495,0.38159649755633285
2B,34583.58904151316,85365.40484409023,0.40512417301453646
30,133205.1740041177,352073.08706709143,0.37834523255886915
31,323995.5972503082,695317.5552764196,0.4659678082218211
32,25805.0101233284,91433.36664766348,0.28222749603837133
33,339703.57849462517,789257.0804630459,0.4304092885620056
34,260747.94376172347,584807.7270906728,0.44586952545737346
35,197872.53517518053,505314.03051759367,0.3915832991466702
36,31212.850954552177,106105.9708297198,0.29416677224171445
37,116315.28258509794,292529.54529902036,0.39761892244491676
38,211284.69715182376,573242.7599327541,0.36857804741678574
39,38660.291358454524,122206.61138692193,0.3163518808000579
40,62861.626968578086,201797.1739259798,0.31150895597594463
41,45272.45003613664,152573.48510055305,0.2967255418351359
42,139230.3738291904,351538.4612618384,0.39606014468353334
43,28951.681477589376,105737.52794501602,0.2738070582910202
44,254643.83527264284,674295.2072833515,0.3776444389966378
45,110747.90899022274,308014.915739228,0.3595537207165132
46,23421.160421257322,86969.54260280538,0.26930301942857204
47,51248.22479586464,156831.18176915267,0.32677318513928794
48,11240.285173622602,36415.58767318473,0.3086668619630595
49,142873.32357397408,371235.0603270814,0.38485945656127873
50,81741.16191174375,235399.57205779484,0.3472443097376355
51,120931.77159336251,264587.382402439,0.45705796888464073
52,26752.414931750158,81135.6265037933,0.3297246361991105
53,43781.35718894763,137524.43531015603,0.31835329547224417
54,140053.15802522443,343130.7457051489,0.40816266038010957
55,25071.606525290506,83572.24508019561,0.2999991983131707
56,112686.64659648313,368471.81024630455,0.30582162179830763
57,178236.7484026946,474712.8459043164,0.3754622398371334
58,29890.579419840924,101100.68559207393,0.29565159963845267
59,509329.18358324765,1149696.5049729543,0.443011856938044
60,128315.22235511125,348458.22950226965,0.36823702668292263
61,44340.95574482407,130306.9618577368,0.340280788629187
62,253761.65630158014,631136.8126439054,0.4020707574298243
63,114991.8733734984,319082.6588644735,0.36038271018150125
64,124474.539831216,338532.8739964465,0.3676881904016287
65,37295.08495920866,113034.28666561093,0.3299448871609959
66,87976.83961689267,237052.1071188234,0.3711286969189179
67,218159.2123825105,521316.91267193086,0.4184771433260596
68,128876.30821034251,343427.43207234674,0.3752650376024514
69,431302.97830435715,868232.8386329678,0.4967595777458078
70,31739.411185749886,108443.80754368521,0.29268071552139174
71,87725.20274843348,260852.69549680786,0.3363016915786749
72,87713.82436465922,257312.09906550997,0.34088495909524974
73,76546.94080894388,208114.09218826675,0.36781238600458177
74,143661.19868000993,384142.12576085236,0.37397928799260666
75,696303.826590325,1125472.67901453,0.618676792047953
76,266262.31054553774,583122.7970327942,0.45661447623109036
77,215108.70176193715,587447.6639541372,0.3661750909247482
78,242183.6703659425,611276.5573313977,0.39619329002771647
79,50359.358518576,172049.69303290363,0.29270240260728064
80,98317.52425733433,257308.56710264416,0.3820996920717141
81,57184.376828263026,184680.5762069716,0.30963936761912886
82,35915.955117322235,116399.30099954437,0.3085581683816368
83,201221.77312489809,525588.1160695044,0.3828506904411976
84,106132.63212797028,259583.7679261961,0.40885696735146215
85,85280.14619551726,320595.76945716044,0.266005213792794
86,76497.65502849556,208887.318489214,0.36621493148443834
87,65946.80830703228,185646.41954926518,0.35522801068367443
88,57506.13252399625,170746.80407258077,0.3367918529213094
89,47186.8682151574,155654.50582190638,0.3031513155754496
90,27449.051432813907,64893.12731796701,0.42298857471173323
91,219952.2253082111,542250.2152483601,0.40562865467461207
92,407052.25146632217,746653.1263416853,0.5451691516524179
93,398740.4859745559,661900.0382024959,0.6024179830196184
94,330912.3047031471,615834.7769058525,0.5373394246517784
95,214411.00854045045,497490.2447262544,0.43098535260411147
