No Insee,Département,Préfecture
10,Ain,Bourg-en-Bresse
20,Aisne,Laon
30,Allier,Moulins
40,Alpes-de-Haute-Provence,Digne-les-Bains
50,Hautes-Alpes,Gap
60,Alpes-Maritimes,Nice
70,Ardèche,Privas
80,Ardennes,Charleville-Mézières
90,Ariège,Foix
100,Aube,Troyes
110,Aude,Carcassonne
120,Aveyron,Rodez
130,Bouches-du-Rhône,Marseille
140,Calvados,Caen
150,Cantal,Aurillac
160,Charente,Angoulême
170,Charente-Maritime,La Rochelle
180,Cher,Bourges
190,Corrèze,Tulle
2A0,Corse-du-Sud,Ajaccio
2B0,Haute-Corse,Bastia
210,Côte-d'Or,Dijon
220,Côtes-d'Armor,Saint-Brieuc
230,Creuse,Guéret
240,Dordogne,Périgueux
250,Doubs,Besançon
260,Drôme,Valence
270,Eure,Évreux
280,Eure-et-Loir,Chartres
290,Finistère,Quimper
300,Gard,Nîmes
310,Haute-Garonne,Toulouse
320,Gers,Auch
330,Gironde,Bordeaux
340,Hérault,Montpellier
350,Ille-et-Vilaine,Rennes
360,Indre,Châteauroux
370,Indre-et-Loire,Tours
380,Isère,Grenoble
390,Jura,Lons-le-Saunier
400,Landes,Mont-de-Marsan
410,Loir-et-Cher,Blois
420,Loire,Saint-Étienne
430,Haute-Loire,Le Puy-en-Velay
440,Loire-Atlantique,Nantes
450,Loiret,Orléans
460,Lot,Cahors
470,Lot-et-Garonne,Agen
480,Lozère,Mende
490,Maine-et-Loire,Angers
500,Manche,Saint-Lô
510,Marne,Châlons-en-Champagne
520,Haute-Marne,Chaumont
530,Mayenne,Laval
540,Meurthe-et-Moselle,Nancy
550,Meuse,Bar-le-Duc
560,Morbihan,Vannes
570,Moselle,Metz
580,Nièvre,Nevers
590,Nord,Lille
600,Oise,Beauvais
610,Orne,Alençon
620,Pas-de-Calais,Arras
630,Puy-de-Dôme,Clermont-Ferrand
640,Pyrénées-Atlantiques,Pau
650,Hautes-Pyrénées,Tarbes
660,Pyrénées-Orientales,Perpignan
670,Bas-Rhin,Strasbourg
680,Haut-Rhin,Colmar
690,Rhône,Lyon
700,Haute-Saône,Vesoul
710,Saône-et-Loire,Mâcon
720,Sarthe,Le Mans
730,Savoie,Chambéry
740,Haute-Savoie,Annecy
750,Paris,Paris
760,Seine-Maritime,Rouen
770,Seine-et-Marne,Melun
780,Yvelines,Versailles
790,Deux-Sèvres,Niort
800,Somme,Amiens
810,Tarn,Albi
820,Tarn-et-Garonne,Montauban
830,Var,Toulon
840,Vaucluse,Avignon
850,Vendée,La Roche-sur-Yon
860,Vienne,Poitiers
870,Haute-Vienne,Limoges
880,Vosges,Épinal
890,Yonne,Auxerre
900,Territoire de Belfort,Belfort
910,Essonne,Évry-Courcouronnes
920,Hauts-de-Seine,Nanterre
930,Seine-Saint-Denis,Bobigny
940,Val-de-Marne,Créteil
950,Val-d'Oise,Cergy
971,Guadeloupe,Basse-Terre
972,Martinique,Fort-de-France
973,Guyane,Cayenne
974,La Réunion,Saint-Denis
976,Mayotte,Mamoudzou
