dep_code,nb_diagnostiqueurs_dep
01,87
02,60
03,48
04,32
05,24
06,186
07,45
08,26
09,28
10,53
11,62
12,38
13,389
14,129
15,15
16,49
17,95
18,42
19,34
21,87
22,74
23,21
24,61
25,57
26,78
27,71
28,45
29,133
30,110
31,275
32,28
33,323
34,245
35,212
36,19
37,93
38,188
39,39
40,55
41,46
42,242
43,42
44,250
45,115
46,25
47,53
48,5
49,97
50,60
51,94
52,19
53,236
54,119
55,25
56,99
57,117
58,39
59,391
60,93
61,31
62,218
63,93
64,135
65,36
66,89
67,168
68,85
69,326
70,26
71,74
72,63
73,74
74,130
75,379
76,209
77,204
78,280
79,37
80,60
81,54
82,40
83,198
84,90
85,117
86,68
87,73
88,57
89,45
90,20
91,186
92,352
93,258
94,220
95,181
